id,string1,string2,distance,similarity,substring
7113963,EXADATA DATABASE MACHINE X6-2: ORACLE ENTERPRISE,EXADATA DATABASE MACHINE X6-2: ORACLE EN,8,0.833333333333333,40
7113963,EXADATA DATABASE MACHINE X6-2: ORACLE ENTERPRISE,Oracle Enterprise Linux software image,45,0.0625,2
7113342,EXADATA DATABASE SERVER X6-2 PLUS INFINIBAND,BTO Exadata X6-2 NIC RM,33,0.25,6
7113342,EXADATA DATABASE SERVER X6-2 PLUS INFINIBAND,EXADATA DATABASE SERVER X6-2 PLUS INFINI,4,0.909090909090909,40
7113342,EXADATA DATABASE SERVER X6-2 PLUS INFINIBAND,Exadata Database Server X6-2 plus Infiniband Infrastructure (for field installation),70,0.166666666666667,6
7113341,EXADATA DATABASE SERVER X6-2 PLUS INFINIBAND,EXADATA DATABASE SERVER X6-2 PLUS INFINI,4,0.909090909090909,40
7113341,EXADATA DATABASE SERVER X6-2 PLUS INFINIBAND,Exadata Database Server X6-2 plus Infini,31,0.295454545454545,6
7113296,EXADATA DATABASE MACHINE X6-2: MODEL FAM,:UGAP:ORACLE Exadata Databa Machine X6-2,36,0.1,5
7113296,EXADATA DATABASE MACHINE X6-2: MODEL FAM,:UGAP:ORACLE Exadata Databa Machine X6-2,36,0.1,5
7114794,EXADATA DATABASE MACHINE X6-2 HIGH CAPACITY (HC),EXADATA DATABASE MACHINE X6-2 HIGH CAPAC,8,0.833333333333333,40
7113252,ORACLE SERVER X6-2: 1 RU BASE CHASSIS WI,Oracle Server X6-2: 1 RU base chassis wi,23,0.425,12
7113252,ORACLE SERVER X6-2: 1 RU BASE CHASSIS,Oracle Server X6-2: 1 RU base chassis wi,24,0.4,12
7113252,ORACLE SERVER X6-2: 1 RU BASE CHASSIS WI,Oracle Server X6-2: 1 RU base chassis wi,23,0.425,12
7113252,ORACLE SERVER X6-2: 1 RU BASE CHASSIS WI,Oracle Server X6-2: 1 RU base chassis wi,23,0.425,12
7113257,Oracle Server X6-2L: model family,ORACLE SERVER X6-2L: MODEL FAMILY,21,0.363636363636364,8
7114026,PRIVATE CLOUD APPLIANCE X6-2: SERVER (FOR FACTORY,BTO Exadata X6-2 NIC RM,38,0.224489795918367,5
7113962,Exadata Database Machine X6-2: Oracle En,EXADATA DATABASE MACHINE X6-2: ORACLE EN,25,0.375,8
7113962,Exadata Database Machine X6-2: Oracle En,EXADATA MACHINE X6-2: ORACLE ENTERPRISE LINUX,40,0.111111111111111,8
7113962,Exadata Database Machine X6-2: Oracle En,Oracle Enterprise Linux software image,33,0.175,9
7113252,Oracle Server X6-2:1 RU base chassis w.m,Oracle Server X6-2: 1 RU base chassis wi,3,0.925,19
7113252,ORACLE SERVER X6-2: 1 RU BASE CHASSIS WI,Oracle Server X6-2: 1 RU base chassis wi,23,0.425,12
7113296,EXADATA DATABASE MACHINE X6-2: MODEL FAM,:UGAP:ORACLE Exadata Databa Machine X6-2,36,0.1,5
7113252,ORACLE SERVER X6-2: 1 RU BASE CHASSIS WI,Oracle Server X6-2: 1 RU base chassis wi,23,0.425,12
PRE52660V414C20,HCIA PROC E5-2660 V4 14C 2.0GHZ 1ST,=>>HCIA PROC E5-2660 V4,18,0.485714285714286,20
PRE52660V414C-2,HCIA PROC E5-2660 V4 14C 2.0GHZ 2ND,=>>HCIA PROC E5-2660 V4,18,0.485714285714286,20
PRE52620V408C-2,HCIA PROC E5-2620 v4 8C 2.1GHZ 2ND,HCIA PROC E5-2620 V4 8C 2.1GHZ 2ND,1,0.970588235294118,18
PRE52620V408C21,HCIA PROC E5-2620 v4 8C 2.1GHZ 1ST,HCIA PROC E5-2620 V4 8C 2.1GHZ 1ST,1,0.970588235294118,18
