id;string1;string2;distance;similarity;substring
7113963;EXADATA DATABASE MACHINE X6-2: ORACLE ENTERPRISE;EXADATA DATABASE MACHINE X6-2: ORACLE EN;8;83%;EXADATA DATABASE MACHINE X6-2: ORACLE EN
7113963;EXADATA DATABASE MACHINE X6-2: ORACLE ENTERPRISE;Oracle Enterprise Linux software image;37;23%;" E"
7113342;EXADATA DATABASE SERVER X6-2 PLUS INFINIBAND;BTO Exadata X6-2 NIC RM;31;30%;" X6-2 "
7113342;EXADATA DATABASE SERVER X6-2 PLUS INFINIBAND;EXADATA DATABASE SERVER X6-2 PLUS INFINI;4;91%;EXADATA DATABASE SERVER X6-2 PLUS INFINI
7113342;EXADATA DATABASE SERVER X6-2 PLUS INFINIBAND;Exadata Database Server X6-2 plus Infiniband Infrastructure (for field installation);40;52%;" X6-2 "
7113341;EXADATA DATABASE SERVER X6-2 PLUS INFINIBAND;EXADATA DATABASE SERVER X6-2 PLUS INFINI;4;91%;EXADATA DATABASE SERVER X6-2 PLUS INFINI
7113341;EXADATA DATABASE SERVER X6-2 PLUS INFINIBAND;Exadata Database Server X6-2 plus Infini;4;91%;" X6-2 "
7113296;EXADATA DATABASE MACHINE X6-2: MODEL FAM;:UGAP:ORACLE Exadata Databa Machine X6-2;26;35%;" X6-2"
7113296;EXADATA DATABASE MACHINE X6-2: MODEL FAM;:UGAP:ORACLE Exadata Databa Machine X6-2;26;35%;" X6-2"
7114794;EXADATA DATABASE MACHINE X6-2 HIGH CAPACITY (HC);EXADATA DATABASE MACHINE X6-2 HIGH CAPAC;8;83%;EXADATA DATABASE MACHINE X6-2 HIGH CAPAC
7113252;ORACLE SERVER X6-2: 1 RU BASE CHASSIS WI;Oracle Server X6-2: 1 RU base chassis wi;0;100%;" X6-2: 1 RU "
7113252;ORACLE SERVER X6-2: 1 RU BASE CHASSIS;Oracle Server X6-2: 1 RU base chassis wi;3;93%;" X6-2: 1 RU "
7113252;ORACLE SERVER X6-2: 1 RU BASE CHASSIS WI;Oracle Server X6-2: 1 RU base chassis wi;0;100%;" X6-2: 1 RU "
7113252;ORACLE SERVER X6-2: 1 RU BASE CHASSIS WI;Oracle Server X6-2: 1 RU base chassis wi;0;100%;" X6-2: 1 RU "
7113257;Oracle Server X6-2L: model family;ORACLE SERVER X6-2L: MODEL FAMILY;0;100%;" X6-2L: "
7114026;PRIVATE CLOUD APPLIANCE X6-2: SERVER (FOR FACTORY;BTO Exadata X6-2 NIC RM;36;27%;" X6-2"
7113962;Exadata Database Machine X6-2: Oracle En;EXADATA DATABASE MACHINE X6-2: ORACLE EN;0;100%;" X6-2: O"
7113962;Exadata Database Machine X6-2: Oracle En;EXADATA MACHINE X6-2: ORACLE ENTERPRISE LINUX;23;49%;" X6-2: O"
7113962;Exadata Database Machine X6-2: Oracle En;Oracle Enterprise Linux software image;33;18%;Oracle En
7113252;Oracle Server X6-2:1 RU base chassis w.m;Oracle Server X6-2: 1 RU base chassis wi;3;93%;Oracle Server X6-2:
7113252;ORACLE SERVER X6-2: 1 RU BASE CHASSIS WI;Oracle Server X6-2: 1 RU base chassis wi;0;100%;" X6-2: 1 RU "
7113296;EXADATA DATABASE MACHINE X6-2: MODEL FAM;:UGAP:ORACLE Exadata Databa Machine X6-2;26;35%;" X6-2"
7113252;ORACLE SERVER X6-2: 1 RU BASE CHASSIS WI;Oracle Server X6-2: 1 RU base chassis wi;0;100%;" X6-2: 1 RU "
PRE52660V414C20;HCIA PROC E5-2660 V4 14C 2.0GHZ 1ST;=>>HCIA PROC E5-2660 V4;18;49%;HCIA PROC E5-2660 V4
