OWN_PN;OWN_PROD_NAME;TABLE.OWN_PROD_NAME
7113963;EXADATA DATABASE MACHINE X6-2: ORACLE ENTERPRISE;EXADATA DATABASE MACHINE X6-2: ORACLE EN;
7113963;EXADATA DATABASE MACHINE X6-2: ORACLE ENTERPRISE;Oracle Enterprise Linux software image;
7113342;EXADATA DATABASE SERVER X6-2 PLUS INFINIBAND;BTO Exadata X6-2 NIC RM;
7113342;EXADATA DATABASE SERVER X6-2 PLUS INFINIBAND;EXADATA DATABASE SERVER X6-2 PLUS INFINI;
7113342;EXADATA DATABASE SERVER X6-2 PLUS INFINIBAND;Exadata Database Server X6-2 plus Infiniband Infrastructure (for field installation);
7113341;EXADATA DATABASE SERVER X6-2 PLUS INFINIBAND;EXADATA DATABASE SERVER X6-2 PLUS INFINI;
7113341;EXADATA DATABASE SERVER X6-2 PLUS INFINIBAND;Exadata Database Server X6-2 plus Infini;
7113296;EXADATA DATABASE MACHINE X6-2: MODEL FAM;:UGAP:ORACLE Exadata Databa Machine X6-2;
7113296;EXADATA DATABASE MACHINE X6-2: MODEL FAM;:UGAP:ORACLE Exadata Databa Machine X6-2;
7114794;EXADATA DATABASE MACHINE X6-2 HIGH CAPACITY (HC);EXADATA DATABASE MACHINE X6-2 HIGH CAPAC;
7113252;ORACLE SERVER X6-2: 1 RU BASE CHASSIS WI;Oracle Server X6-2: 1 RU base chassis wi;
7113252;ORACLE SERVER X6-2: 1 RU BASE CHASSIS;Oracle Server X6-2: 1 RU base chassis wi;
7113252;ORACLE SERVER X6-2: 1 RU BASE CHASSIS WI;Oracle Server X6-2: 1 RU base chassis wi;
7113252;ORACLE SERVER X6-2: 1 RU BASE CHASSIS WI;Oracle Server X6-2: 1 RU base chassis wi;
7113257;Oracle Server X6-2L: model family;ORACLE SERVER X6-2L: MODEL FAMILY;
7114026;PRIVATE CLOUD APPLIANCE X6-2: SERVER (FOR FACTORY;BTO Exadata X6-2 NIC RM;
